well,target,removed_feature,model,n_features,features,r2_train,r2_test,elapsed_sec,formula
ZXX2,POIS,DTS,MLP_BP,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9966,-5851.5271,3.3,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX2,SHMAX,DTS,Linear_single,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.4699,0.6445,0.0,-0.8143 * DTC + 176.4
ZXX2,SHMAX,DTS,Linear_multi,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7242,-13.1991,0.0,linear_multi
ZXX2,SHMAX,DTS,RF,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9391,0.0667,0.4,"RF(n=300, depth=10, leaf=5)"
ZXX2,SHMAX,DTS,XGBoost,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9586,0.0437,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX2,SHMAX,DTS,MLP_BP,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9374,-11640.1753,4.2,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,YMOD,DTS,Linear_single,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.8398,0.9247,0.0,-1263 * DTC + 1.277e+05
ZXX3,YMOD,DTS,Linear_multi,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9906,-26.9578,0.0,linear_multi
ZXX3,YMOD,DTS,RF,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9955,0.8213,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,YMOD,DTS,XGBoost,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9976,0.5981,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
ZXX3,YMOD,DTS,MLP_BP,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9945,0.7383,4.6,"MLP-BP(128,64,32, adaptive_lr, ES)"
ZXX3,SMOD,DTS,Linear_single,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.7804,0.8827,0.0,-0.5055 * DTC + 50.67
ZXX3,SMOD,DTS,Linear_multi,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9899,-37.5087,0.0,linear_multi
ZXX3,SMOD,DTS,RF,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9956,0.8652,0.5,"RF(n=300, depth=10, leaf=5)"
ZXX3,SMOD,DTS,XGBoost,8,"['DTC', 'DEN', 'GR', 'CNL', 'LLD', 'LLS', 'RMSC', 'CAL']",0.9975,0.7065,0.2,"XGB(n=300, depth=4, lr=0.05, reg)"
