well,target,model,split,r2_train,r2_test,formula,well_desens
ZXX7,POIS,Linear_single,OOD,0.9648,0.9083,0.3244 * RMSC + -0.3077,WellD
ZXX7,POIS,SVR_rbf,OOD,0.9964,-0.3326,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellD
ZXX7,POIS,XGBoost,OOD,0.9908,0.9127,"XGB(n=300, depth=4, lr=0.05, reg)",WellD
ZXX7,POIS,Poly3,OOD,0.9962,-616175308109.3303,Poly(deg=3),WellD
ZXX7,POIS,Poly2,OOD,0.9951,-1669188.0309,Poly(deg=2),WellD
ZXX7,POIS,RF,OOD,0.9925,0.8955,"RF(n=300, depth=10, leaf=5)",WellD
ZXX7,POIS,MLP_BP,OOD,0.9051,-17248.9031,"MLP-BP(128,64,32, adaptive_lr, ES)",WellD
ZXX7,POIS,Linear_multi,OOD,0.9723,-18.6615,linear_multi,WellD
ZXX6,SMOD,Linear_single,OOD,0.8879,0.7748,-0.3773 * DTC + 43.57,WellC
ZXX6,SMOD,SVR_rbf,OOD,0.995,-1.2508,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,SMOD,XGBoost,OOD,0.9987,0.0452,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,SMOD,Poly3,OOD,0.999,-1701356202731.0242,Poly(deg=3),WellC
ZXX6,SMOD,Poly2,OOD,0.9982,-887866.8893,Poly(deg=2),WellC
ZXX6,SMOD,RF,OOD,0.9941,-0.0414,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,SMOD,MLP_BP,OOD,0.9955,-35313.7033,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,SMOD,Linear_multi,OOD,0.994,-41.8947,linear_multi,WellC
ZXX6,SHMAX,Linear_single,OOD,0.0218,0.0714,-0.01658 * LLD + 88.68,WellC
ZXX6,SHMAX,SVR_rbf,OOD,0.9937,-0.027,"SVR(rbf, {'svr__C': 100, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,SHMAX,XGBoost,OOD,0.9946,-0.029,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,SHMAX,Poly3,OOD,0.9783,-87429818389.8513,Poly(deg=3),WellC
ZXX6,SHMAX,Poly2,OOD,0.9546,-2787.0096,Poly(deg=2),WellC
ZXX6,SHMAX,RF,OOD,0.9869,-0.0287,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,SHMAX,MLP_BP,OOD,0.9664,-81.8721,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,SHMAX,Linear_multi,OOD,0.9245,-0.0067,linear_multi,WellC
ZXX6,YMOD,Linear_single,OOD,0.9515,0.7806,-978.1 * DTC + 1.089e+05,WellC
ZXX6,YMOD,SVR_rbf,OOD,0.9956,-1.0392,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,YMOD,XGBoost,OOD,0.999,0.0668,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,YMOD,Poly3,OOD,0.9991,-1492383817235.672,Poly(deg=3),WellC
ZXX6,YMOD,Poly2,OOD,0.9984,-576837.9963,Poly(deg=2),WellC
ZXX6,YMOD,RF,OOD,0.9943,-0.0978,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,YMOD,MLP_BP,OOD,0.9964,-8591.6648,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,YMOD,Linear_multi,OOD,0.9944,-23.6177,linear_multi,WellC
ZXX6,POIS,Linear_single,OOD,0.996,0.8803,0.4803 * RMSC + -0.5716,WellC
ZXX6,POIS,SVR_rbf,OOD,0.9971,-0.1311,"SVR(rbf, {'svr__C': 10, 'svr__gamma': 0.1}, y-scaled)",WellC
ZXX6,POIS,XGBoost,OOD,0.9892,0.57,"XGB(n=300, depth=4, lr=0.05, reg)",WellC
ZXX6,POIS,Poly3,OOD,0.9995,-75120404727.7694,Poly(deg=3),WellC
ZXX6,POIS,Poly2,OOD,0.9995,-486809.6662,Poly(deg=2),WellC
ZXX6,POIS,RF,OOD,0.998,0.6894,"RF(n=300, depth=10, leaf=5)",WellC
ZXX6,POIS,MLP_BP,OOD,0.9209,-181407.514,"MLP-BP(128,64,32, adaptive_lr, ES)",WellC
ZXX6,POIS,Linear_multi,OOD,0.9972,0.0016,linear_multi,WellC
ZXX3,SMOD,Linear_single,Random,0.9437,0.943,-0.2958 * DTS + 53.28,WellB
ZXX3,SMOD,SVR_rbf,Random,0.9977,0.9969,"SVR(rbf, {'svr__C': 1, 'svr__gamma': 0.1}, y-scaled)",WellB
